State,GDP (US Billions),Population (x 1000),Size (x1000),Forest Cover
AL,210.95,4780,50,70.6
AK,52.79,740,570,30.4
AZ,319.85,7016,113,4.8
AR,124.92,3004,52,55.1
CA,2746.9,39536,156,17.8
CO,342.75,5607,103,17.5
CT,260.83,3588,4,54.7
DE,73.54,962,2,30
FL,967.34,20984,54,42.4
GA,554.3,10429,58,64.2
HI,88.14,1427,6,17
ID,71.89,1717,82,31.8
IL,820.36,12802,55,11.5
IN,359.12,6668,35,18.9
IA,190.2,3145,55,5.4
KS,157.8,2913,81,2.8
KY,202.51,4454,39,48.6
LA,246.26,4684,43,49.2
ME,61.4,1336,30,89
MD,393.63,6052,9,37.9
MA,527.45,6860,7,50.9
MI,505,9962,56,51.2
MN,351.11,5576,79,28.9
MS,111.71,2984,47,61.9
MO,304.9,6113,68,30.3
MT,48.1,1050,145,20.6
NE,121.77,1920,76,1.8
NV,156.31,2998,109,0.5
NH,80.52,1343,9,77.5
NJ,591.7,9005,7,39.5
NM,97.1,2088,121,5.6
NY,1547.1,19849,47,52.5
NC,538.3,10273,48,59.9
ND,55.49,755,69,1
OH,649.13,11658,41,28.9
OK,189.16,3930,68,14.2
OR,236.22,4142,96,38.8
PA,752.1,12805,44,55.3
RI,59.46,1059,1,50.8
SC,219.1,5024,30,63.8
SD,49.93,869,75,2.1
TN,345.22,6715,41,52.9
TX,1696.2,28304,262,7
UT,165.53,3101,82,8.9
VT,32.2,623,9,75.7
VA,508.66,8470,39,60.7
WA,506.35,7405,66,40.7
WI,324.06,5795,54,45.2
WV,76.8,1815,24,77.2
WY,40.29,579,97,9.2
DC,130,694,0.07,38.7
